ym,tmean,tmax,tmin,rh,precip,n_tmean,n_rh,n_precip,days_expected,days_missing,longest_gap,n_calibrated,wmo_valid,dtr,year,month
2014-12-01,12.53667805789406,17.406451612903226,6.453333333333333,,90.6,30,22,30,31,1,1,8,True,10.953118279569892,2014,12
2015-01-01,10.539144505306322,15.206451612903225,5.638709677419355,,96.4,31,24,30,31,0,0,7,True,9.56774193548387,2015,1
2015-02-01,11.124940304337768,15.728571428571428,6.442857142857143,73.028,121.0,28,25,28,28,0,0,3,True,9.285714285714285,2015,2
2015-03-01,10.847639882567057,15.30967741935484,5.967741935483871,73.56551724137931,187.0,31,29,28,31,0,0,2,True,9.34193548387097,2015,3
2015-04-01,9.924211863704421,14.6,5.333333333333333,78.03793103448275,114.1,30,29,27,30,0,0,1,True,9.266666666666666,2015,4
2015-05-01,9.75,15.44,2.7096774193548385,70.84666666666666,0.2,30,30,29,31,1,1,0,True,12.730322580645161,2015,5
2015-06-01,8.886666666666667,15.753333333333334,0.7066666666666667,59.07333333333334,0.0,30,30,30,30,0,0,0,True,15.046666666666667,2015,6
2015-07-01,8.219354838709679,15.103225806451613,-0.02580645161290322,59.538709677419355,1.8,31,31,31,31,0,0,0,True,15.129032258064516,2015,7
2015-08-01,8.887096774193548,15.55483870967742,1.2000000000000002,60.50322580645161,4.0,31,31,31,31,0,0,0,True,14.35483870967742,2015,8
2015-09-01,10.136666666666667,17.02,3.2933333333333334,62.333333333333336,54.5,30,30,29,30,0,0,0,True,13.726666666666667,2015,9
2015-10-01,11.17765014229086,17.26451612903226,4.0,62.864,41.5,28,25,31,31,3,2,3,True,13.264516129032259,2015,10
2015-11-01,12.578549597925077,18.32,5.913333333333333,63.068000000000005,23.2,30,25,29,30,0,0,5,True,12.406666666666666,2015,11
2015-12-01,12.53309180635177,17.933333333333334,5.858064516129032,,59.4,30,22,29,31,1,1,8,True,12.075268817204302,2015,12
2016-01-01,12.802471554874959,17.903225806451612,6.696774193548387,70.028,79.7,31,25,30,31,0,0,6,True,11.206451612903226,2016,1
2016-02-01,11.769919943381412,16.42758620689655,7.014285714285714,79.5125,202.6,28,24,28,29,1,1,4,True,9.413300492610835,2016,2
2016-03-01,12.964475145905574,17.787096774193547,6.67741935483871,70.89,9.799999999999999,31,30,30,31,0,0,1,True,11.109677419354837,2016,3
2016-04-01,10.985090394075511,16.2,4.866666666666666,68.17857142857143,57.5,30,28,29,30,0,0,2,True,11.333333333333332,2016,4
2016-05-01,10.13225806451613,16.883870967741935,2.103225806451613,52.79677419354839,0.5,31,31,30,31,0,0,0,True,14.780645161290321,2016,5
2016-06-01,8.729999999999999,15.893333333333334,0.5666666666666667,51.736666666666665,2.0,30,30,30,30,0,0,0,True,15.326666666666668,2016,6
2016-07-01,8.461290322580645,15.04516129032258,0.7483870967741936,56.41290322580645,3.4,31,31,31,31,0,0,0,True,14.296774193548387,2016,7
2016-08-01,9.406451612903227,16.18709677419355,1.096774193548387,55.76129032258064,0.0,31,31,29,31,0,0,0,True,15.09032258064516,2016,8
2016-09-01,10.657798115246711,16.98,2.933333333333333,60.186206896551724,0.30000000000000004,30,29,25,30,0,0,1,True,14.046666666666667,2016,9
2016-10-01,11.209334287676338,17.251612903225805,4.406666666666666,62.332,76.0,30,25,29,31,1,1,5,True,12.844946236559139,2016,10
2016-11-01,12.2086693736693,18.233333333333334,4.446666666666667,58.84166666666667,43.0,30,24,30,30,0,0,6,True,13.786666666666667,2016,11
2016-12-01,12.607627390192294,18.193548387096776,5.980645161290322,56.276923076923076,49.7,31,26,27,31,0,0,5,True,12.212903225806453,2016,12
2017-01-01,10.990129718361356,15.78,6.027586206896552,69.82592592592593,314.3,28,27,30,31,3,1,1,True,9.752413793103447,2017,1
2017-02-01,11.924999999999999,16.864285714285714,6.378571428571428,66.94642857142857,119.2,28,28,24,28,0,0,0,True,10.485714285714286,2017,2
2017-03-01,10.399381633339377,14.851612903225806,6.419354838709677,75.24,145.7,31,30,26,31,0,0,1,True,8.43225806451613,2017,3
2017-04-01,10.13103448275862,15.289655172413791,4.7733333333333325,69.28275862068966,45.5,29,29,29,30,1,1,0,True,10.516321839080458,2017,4
2017-05-01,9.761290322580646,15.567741935483872,3.4064516129032256,60.03225806451613,21.7,31,31,30,31,0,0,0,True,12.161290322580646,2017,5
2017-06-01,8.693316919226818,15.493333333333334,0.47333333333333333,51.97241379310345,1.0,30,29,30,30,0,0,1,True,15.020000000000001,2017,6
2017-07-01,8.12,15.113333333333333,0.12258064516129032,52.68,1.6,30,30,31,31,1,1,0,True,14.990752688172043,2017,7
