ym,tmean,rh,precip,n_rh,n_precip,wmo_valid,days_expected,n_reconstructed,days_missing,year,month,frac_reconstructed
2012-12-01,11.070967741935483,,155.9,20,28,True,31,11,0,2012,12,0.3548387096774194
2013-01-01,10.927586206896551,,153.0,22,29,True,31,7,2,2013,1,0.22580645161290322
2013-02-01,10.9,80.75,175.8,26,28,True,28,2,0,2013,2,0.07142857142857142
2013-03-01,11.360000000000001,72.40344827586206,100.0,29,31,True,31,1,1,2013,3,0.03225806451612903
2013-04-01,10.526666666666667,59.582142857142856,14.3,28,30,True,30,2,0,2013,4,0.06666666666666667
2013-05-01,9.623333333333333,61.776,22.4,25,29,True,31,5,1,2013,5,0.16129032258064516
2013-06-01,7.803571428571429,58.74285714285714,12.5,28,29,True,30,0,2,2013,6,0.0
2013-07-01,7.944827586206896,59.48275862068966,1.5,29,29,True,31,0,2,2013,7,0.0
2013-08-01,8.399999999999999,55.54,4.5,30,29,True,31,1,0,2013,8,0.03225806451612903
2013-09-01,10.253333333333334,51.103571428571435,11.6,28,30,True,30,2,0,2013,9,0.06666666666666667
2013-10-01,11.625806451612902,61.013333333333335,32.9,30,30,True,31,1,0,2013,10,0.03225806451612903
2013-11-01,12.173333333333334,,61.400000000000006,23,30,True,30,7,0,2013,11,0.23333333333333334
2013-12-01,11.287096774193548,68.95925925925927,117.1,27,28,True,31,4,0,2013,12,0.12903225806451613
2014-01-01,11.027586206896553,70.62142857142858,145.0,28,30,True,31,1,2,2014,1,0.03225806451612903
2014-02-01,11.511111111111111,72.23461538461538,107.7,26,26,True,28,1,1,2014,2,0.03571428571428571
2014-03-01,11.2,75.36451612903227,60.5,31,31,True,31,0,0,2014,3,0.0
2014-04-01,10.696666666666665,69.87241379310345,40.9,29,29,True,30,1,0,2014,4,0.03333333333333333
2014-05-01,9.753333333333334,57.741379310344826,0.1,29,31,True,31,1,1,2014,5,0.03225806451612903
2014-06-01,9.543333333333333,54.61379310344827,0.0,29,30,True,30,1,0,2014,6,0.03333333333333333
2014-07-01,8.864516129032259,53.193548387096776,0.2,31,30,True,31,0,0,2014,7,0.0
2014-08-01,9.12258064516129,59.61034482758621,28.9,29,28,True,31,2,0,2014,8,0.06451612903225806
2014-09-01,9.773333333333333,66.47407407407407,66.9,27,24,True,30,3,0,2014,9,0.1
2014-10-01,10.9,64.22,45.2,25,30,True,31,5,1,2014,10,0.16129032258064516
2014-11-01,12.33,60.53703703703704,29.8,27,28,True,30,3,0,2014,11,0.1
2014-12-01,12.373333333333333,,90.6,22,30,True,31,8,1,2014,12,0.25806451612903225
2015-01-01,10.370967741935484,,96.4,24,30,True,31,7,0,2015,1,0.22580645161290322
2015-02-01,11.057142857142859,73.028,121.0,25,28,True,28,3,0,2015,2,0.10714285714285714
2015-03-01,10.803225806451612,73.56551724137931,187.0,29,28,True,31,2,0,2015,3,0.06451612903225806
2015-04-01,9.9,78.03793103448275,114.1,29,27,True,30,1,0,2015,4,0.03333333333333333
2015-05-01,9.75,70.84666666666666,0.2,30,29,True,31,0,1,2015,5,0.0
2015-06-01,8.886666666666667,59.07333333333334,0.0,30,30,True,30,0,0,2015,6,0.0
2015-07-01,8.219354838709679,59.538709677419355,1.8,31,31,True,31,0,0,2015,7,0.0
2015-08-01,8.887096774193548,60.50322580645161,4.0,31,31,True,31,0,0,2015,8,0.0
2015-09-01,10.136666666666667,62.333333333333336,54.5,30,29,True,30,0,0,2015,9,0.0
2015-10-01,11.107142857142858,62.864,41.5,25,31,True,31,3,3,2015,10,0.0967741935483871
2015-11-01,12.479999999999999,63.068000000000005,23.2,25,29,True,30,5,0,2015,11,0.16666666666666666
2015-12-01,12.370000000000001,,59.4,22,29,True,31,8,1,2015,12,0.25806451612903225
2016-01-01,12.687096774193549,70.028,79.7,25,30,True,31,6,0,2016,1,0.1935483870967742
2016-02-01,11.682142857142859,79.5125,202.6,24,28,True,29,4,1,2016,2,0.13793103448275862
2016-03-01,12.948387096774193,70.89,9.799999999999999,30,30,True,31,1,0,2016,3,0.03225806451612903
2016-04-01,10.936666666666667,68.17857142857143,57.5,28,29,True,30,2,0,2016,4,0.06666666666666667
2016-05-01,10.13225806451613,52.79677419354839,0.5,31,30,True,31,0,0,2016,5,0.0
2016-06-01,8.729999999999999,51.736666666666665,2.0,30,30,True,30,0,0,2016,6,0.0
2016-07-01,8.461290322580645,56.41290322580645,3.4,31,31,True,31,0,0,2016,7,0.0
2016-08-01,9.406451612903227,55.76129032258064,0.0,31,29,True,31,0,0,2016,8,0.0
2016-09-01,10.633333333333333,60.186206896551724,0.30000000000000004,29,25,True,30,1,0,2016,9,0.03333333333333333
2016-10-01,11.093333333333334,62.332,76.0,25,29,True,31,5,1,2016,10,0.16129032258064516
2016-11-01,12.086666666666668,58.84166666666667,43.0,24,30,True,30,6,0,2016,11,0.2
2016-12-01,12.519354838709676,56.276923076923076,49.7,26,27,True,31,5,0,2016,12,0.16129032258064516
2017-01-01,10.957142857142857,69.82592592592593,314.3,27,30,True,31,1,3,2017,1,0.03225806451612903
2017-02-01,11.924999999999999,66.94642857142857,119.2,28,24,True,28,0,0,2017,2,0.0
2017-03-01,10.37741935483871,75.24,145.7,30,26,True,31,1,0,2017,3,0.03225806451612903
2017-04-01,10.13103448275862,69.28275862068966,45.5,29,29,True,30,0,1,2017,4,0.0
2017-05-01,9.761290322580646,60.03225806451613,21.7,31,30,True,31,0,0,2017,5,0.0
2017-06-01,8.66,51.97241379310345,1.0,29,30,True,30,1,0,2017,6,0.03333333333333333
2017-07-01,8.12,52.68,1.6,30,31,True,31,0,1,2017,7,0.0
2017-08-01,9.67,51.443333333333335,0.0,30,31,True,31,0,1,2017,8,0.0
2017-09-01,10.263333333333332,62.736666666666665,62.3,30,30,True,30,0,0,2017,9,0.0
2017-10-01,11.338709677419354,56.586666666666666,65.2,30,30,True,31,1,0,2017,10,0.03225806451612903
2017-11-01,12.770000000000001,51.970370370370375,23.9,27,26,True,30,3,0,2017,11,0.1
2017-12-01,12.32,,68.5,24,30,True,31,6,1,2017,12,0.1935483870967742
2018-01-01,10.916129032258064,68.988,171.1,25,30,True,31,6,0,2018,1,0.1935483870967742
2018-02-01,10.832142857142857,72.096,152.1,25,26,True,28,3,0,2018,2,0.10714285714285714
2018-03-01,10.703225806451613,71.36666666666667,114.1,27,30,True,31,4,0,2018,3,0.12903225806451613
2018-04-01,10.3,60.09655172413793,33.199999999999996,29,29,True,30,1,0,2018,4,0.03333333333333333
2018-05-01,9.087096774193547,53.76451612903226,7.8,31,30,True,31,0,0,2018,5,0.0
2018-06-01,8.155172413793103,59.06071428571429,12.9,28,30,True,30,1,1,2018,6,0.03333333333333333
2018-07-01,8.703333333333335,61.69666666666667,32.1,30,31,True,31,0,1,2018,7,0.0
2018-08-01,8.712903225806452,59.24516129032258,0.0,31,28,True,31,0,0,2018,8,0.0
2018-09-01,10.326666666666666,53.68,3.6,30,30,True,30,0,0,2018,9,0.0
2018-10-01,11.63225806451613,59.64074074074074,45.5,27,31,True,31,4,0,2018,10,0.12903225806451613
2018-11-01,13.556666666666667,54.364,22.7,25,28,True,30,5,0,2018,11,0.16666666666666666
2018-12-01,12.626666666666667,57.42,89.8,25,30,True,31,5,1,2018,12,0.16129032258064516
2019-01-01,11.806666666666667,67.70357142857144,148.2,28,30,True,31,2,1,2019,1,0.06451612903225806
2019-02-01,11.44074074074074,71.80416666666666,78.7,24,25,True,28,3,1,2019,2,0.10714285714285714
2019-03-01,11.682758620689656,68.68148148148148,43.7,27,30,True,31,2,2,2019,3,0.06451612903225806
2019-04-01,11.066666666666666,66.47586206896551,58.599999999999994,29,30,True,30,1,0,2019,4,0.03333333333333333
2019-05-01,9.819354838709677,59.193333333333335,19.0,30,31,True,31,1,0,2019,5,0.03225806451612903
2019-06-01,8.616666666666667,53.94827586206897,2.2,29,30,True,30,1,0,2019,6,0.03333333333333333
2019-07-01,8.212903225806452,53.89354838709678,7.6,31,30,True,31,0,0,2019,7,0.0
2019-08-01,9.341935483870968,49.92580645161291,0.0,31,31,True,31,0,0,2019,8,0.0
2019-09-01,11.246666666666666,58.01428571428572,12.6,28,29,True,30,2,0,2019,9,0.06666666666666667
2019-10-01,11.845161290322581,59.88928571428572,39.900000000000006,28,31,True,31,3,0,2019,10,0.0967741935483871
2019-11-01,11.648275862068965,,92.5,21,29,True,30,8,1,2019,11,0.26666666666666666
2019-12-01,12.30967741935484,,81.5,20,30,True,31,11,0,2019,12,0.3548387096774194
2020-01-01,11.912903225806453,,122.0,24,31,True,31,7,0,2020,1,0.22580645161290322
2020-02-01,11.808620689655172,,170.3,23,29,True,29,6,0,2020,2,0.20689655172413793
2020-03-01,,,,16,16,False,31,1,14,2020,3,0.03225806451612903
2020-04-01,,,,0,0,False,30,0,30,2020,4,0.0
2020-05-01,,,,0,0,False,31,0,31,2020,5,0.0
2020-06-01,,,,0,0,False,30,0,30,2020,6,0.0
2020-07-01,,,,0,0,False,31,0,31,2020,7,0.0
2020-08-01,,,,0,0,False,31,0,31,2020,8,0.0
2020-09-01,,,,0,0,False,30,0,30,2020,9,0.0
2020-10-01,,,,0,0,False,31,0,31,2020,10,0.0
2020-11-01,,,,0,0,False,30,0,30,2020,11,0.0
