model,n_train,start,seed,mae
Multilayer Perceptron,110,10,4,0.9904880442636999
Multiple Linear Regression,110,16,42,0.4040558154066259
Random Forest,110,16,0,0.4810259024378133
Random Forest,110,16,1,0.4847523395144398
Random Forest,110,16,2,0.4875102623902283
Random Forest,110,16,3,0.48788370693070954
Random Forest,110,16,4,0.488280525086987
Multilayer Perceptron,110,16,0,0.4958853242410096
Multilayer Perceptron,110,16,1,0.6967722566088207
Multilayer Perceptron,110,16,2,0.7719330603689702
Multilayer Perceptron,110,16,3,0.7016943667836624
Multilayer Perceptron,110,16,4,0.6819791775084595
Multiple Linear Regression,110,21,42,0.4439234953004929
Random Forest,110,21,0,0.4784129814579034
Random Forest,110,21,1,0.4745992540282955
Random Forest,110,21,2,0.4768769527029612
Random Forest,110,21,3,0.47658442173968496
Random Forest,110,21,4,0.47970031535145585
Multilayer Perceptron,110,21,0,0.5220767602139513
Multilayer Perceptron,110,21,1,0.5468399515866652
Multilayer Perceptron,110,21,2,0.6075640040423727
Multilayer Perceptron,110,21,3,0.47592223233755965
Multilayer Perceptron,110,21,4,0.5810155571291573
Multiple Linear Regression,110,27,42,0.41924859876612897
Random Forest,110,27,0,0.48255380358850747
Random Forest,110,27,1,0.4715123113872144
Random Forest,110,27,2,0.4846651298391243
Random Forest,110,27,3,0.48365611465030317
Random Forest,110,27,4,0.47648967718767904
Multilayer Perceptron,110,27,0,0.43852318592369294
Multilayer Perceptron,110,27,1,0.4868878638724655
Multilayer Perceptron,110,27,2,0.49743517175152885
